_id,Type,Latitude,Longitude,Message,small_area,big_area,weather_forecast_type,weather_forecast,datetime_ios
62c46384daac7e380912c56e,Accident,1.4401346787762273,103.7677990744513,(6/7)0:10 Accident on Woodlands Road (towards BKE) after Woodlands Centre Road. Avoid left lane.,Woodlands,North,Rain,Light Rain,2022-07-06T00:10:00
62c464b0daac7e380912c571,Accident,1.4401346787762273,103.7677990744513,(6/7)0:10 Accident on Woodlands Road (towards BKE) after Woodlands Centre Road. Avoid left lane.,Woodlands,North,Rain,Light Rain,2022-07-06T00:10:00
62c465dcdaac7e380912c573,Accident,1.4401346787762273,103.7677990744513,(6/7)0:10 Accident on Woodlands Road (towards BKE) after Woodlands Centre Road. Avoid left lane.,Woodlands,North,Rain,Light Rain,2022-07-06T00:10:00
62c46708daac7e380912c575,Accident,1.2802220019722754,103.87373395599492,(6/7)0:24 Accident on MCE (towards ECP) after Marina Blvd Entrance. Avoid lanes 4 and 5.,Marine Parade,East,Rain,Light Rain,2022-07-06T00:24:00
62c479c8daac7e380912c593,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c479c8daac7e380912c594,Accident,1.3976158981333522,103.90365893716313,(6/7)1:44 Accident on Tampines Expressway towards Punggol Road. Avoid right lane.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47af4daac7e380912c596,Accident,1.3246005347544523,103.8590376138455,(6/7)1:48 Accident on CTE (towards SLE) after Jalan Bahagia. Avoid lanes 3 and 4.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T01:48:00
62c47af4daac7e380912c598,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47c25daac7e380912c599,Accident,1.3252204785318042,103.8597136023507,(6/7)1:48 Accident on CTE (towards SLE) after Jalan Bahagia. Avoid lanes 3 and 4.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T01:48:00
62c47c25daac7e380912c59b,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47c25daac7e380912c59c,Accident,1.3976158981333522,103.90365893716313,(6/7)1:44 Accident on Tampines Expressway towards Punggol Road. Avoid right lane.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47d51daac7e380912c5d5,Accident,1.3252204785318042,103.8597136023507,(6/7)1:48 Accident on CTE (towards SLE) after Jalan Bahagia. Avoid lanes 3 and 4.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T01:48:00
62c47d51daac7e380912c5d7,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47d51daac7e380912c5d8,Accident,1.3976158981333522,103.90365893716313,(6/7)1:44 Accident on Tampines Expressway towards Punggol Road. Avoid right lane.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47e7ddaac7e380912c612,Accident,1.3252204785318042,103.8597136023507,(6/7)1:48 Accident on CTE (towards SLE) after Jalan Bahagia. Avoid lanes 3 and 4.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T01:48:00
62c47e7ddaac7e380912c614,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c47e7ddaac7e380912c615,Accident,1.3976158981333522,103.90365893716313,(6/7)1:44 Accident on Tampines Expressway towards Punggol Road. Avoid right lane.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c486b1daac7e380912c657,Accident,1.3252204785318042,103.8597136023507,(6/7)1:48 Accident on CTE (towards SLE) after Jalan Bahagia. Avoid lanes 3 and 4.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T01:48:00
62c486b1daac7e380912c659,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c486b1daac7e380912c65a,Accident,1.3976158981333522,103.90365893716313,(6/7)1:44 Accident on Tampines Expressway towards Punggol Road. Avoid right lane.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c487dddaac7e380912c692,Accident,1.3252204785318042,103.8597136023507,(6/7)1:48 Accident on CTE (towards SLE) after Jalan Bahagia. Avoid lanes 3 and 4.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T01:48:00
62c487dddaac7e380912c694,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c487dddaac7e380912c695,Accident,1.3976158981333522,103.90365893716313,(6/7)1:44 Accident on Tampines Expressway towards Punggol Road. Avoid right lane.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
62c48909daac7e380912c6ce,Accident,1.4001199465072782,103.8969901737193,(6/7)1:44 Accident on TPE (towards PIE) at Punggol Rd Exit.,Punggol,East,Cloudy,Cloudy,2022-07-06T01:44:00
