Type,Latitude,Longitude,Message,small_area,big_area,weather_forecast_type,weather_forecast,datetime_ios
Heavy Traffic,1.3466581514098244,103.85942531181745,(6/7)6:48 Heavy Traffic on CTE (towards AYE) at Braddell Rd Exit.,Serangoon,East,Rain,Light Rain,2022-07-06T06:48:00
Heavy Traffic,1.3320506879943224,103.76478390436027,(6/7)7:05 Heavy Traffic on PIE (towards Tuas) at Clementi Ave 6 Exit.,Clementi,West,Rain,Light Rain,2022-07-06T07:05:00
Heavy Traffic,1.4038276417835378,103.77322143617535,(6/7)7:13 Heavy Traffic on BKE (towards PIE) after Mandai Rd Exit.,Sungei Kadut,North,Rain,Light Rain,2022-07-06T07:13:00
Heavy Traffic,1.3240354397998964,103.74373982272562,(6/7)7:12 Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.,Jurong East,West,Rain,Light Rain,2022-07-06T07:12:00
Heavy Traffic,1.422446755629945,103.77313279685936,(6/7)7:14 Heavy Traffic on SLE (towards BKE) at BKE(PIE) Exit.,Woodlands,North,Rain,Light Rain,2022-07-06T07:14:00
Heavy Traffic,1.3591256789908701,103.90305840178598,(6/7)7:30 Heavy Traffic on KPE (towards ECP) between Buangkok Dr Exit and Tampines Rd Exit.,Paya Lebar,East,Rain,Light Rain,2022-07-06T07:30:00
Heavy Traffic,1.3591256789908701,103.90305840178598,(6/7)7:37 Heavy Traffic on KPE (towards ECP) between Buangkok Dr Exit and Tampines Rd Exit.,Paya Lebar,East,Cloudy,Cloudy,2022-07-06T07:37:00
Heavy Traffic,1.3563803638552943,103.69930980645766,(6/7)7:42 Heavy Traffic on PIE (towards Tuas) at Jalan Bahar Exit.,Jurong West,West,Cloudy,Cloudy,2022-07-06T07:42:00
Heavy Traffic,1.380655932501481,103.73502824498394,(6/7)7:40 Heavy Traffic on KJE (towards PIE) at Sungei Tengah Rd Exit.,Choa Chu Kang,West,Cloudy,Cloudy,2022-07-06T07:40:00
Heavy Traffic,1.3629298651822639,103.78009506799215,(6/7)7:46 Heavy Traffic on BKE (towards PIE) between KJE Exit and Dairy Farm Rd Exit.,Bukit Panjang,West,Cloudy,Cloudy,2022-07-06T07:46:00
Heavy Traffic,1.3251396286523096,103.6652416925709,(6/7)7:52 Heavy Traffic on PIE (towards Tuas) at AYE Exit.,Pioneer,West,Cloudy,Cloudy,2022-07-06T07:52:00
Heavy Traffic,1.3240565920003826,103.74371611815151,(6/7)7:51 Heavy Traffic on AYE (towards MCE) at Jurong Town Hall Rd Exit.,Jurong East,West,Cloudy,Cloudy,2022-07-06T07:51:00
Heavy Traffic,1.4216791651810246,103.79596168600203,(6/7)7:49 Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.,Woodlands,North,Cloudy,Cloudy,2022-07-06T07:49:00
Heavy Traffic,1.3547149088612638,103.9637368562704,(6/7)7:56 Heavy Traffic on TPE (towards PIE) at Upper Changi Rd North Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T07:56:00
Heavy Traffic,1.3588900369612233,103.96162753011302,(6/7)7:55 Heavy Traffic on TPE (towards SLE) at Tampines Ave 7 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T07:55:00
Heavy Traffic,1.3342062265546322,103.67629355846563,(6/7)7:54 Heavy Traffic on PIE (towards Tuas) at Upper Jurong Rd Exit.,Jalan Bahar,West,Cloudy,Cloudy,2022-07-06T07:54:00
Heavy Traffic,1.3662168194954447,103.95048729605263,(6/7)7:57 Heavy Traffic on TPE (towards PIE) between Punggol Rd Exit and Pasir Ris Dr 8 Exit.,Pasir Ris,East,Cloudy,Cloudy,2022-07-06T07:57:00
Heavy Traffic,1.3206117149923444,103.8810902893524,(6/7)8:21 Heavy Traffic on PIE (towards Tuas) between Bedok North Avenue 3 exit and KPE Exit.,Geylang,East,Cloudy,Cloudy,2022-07-06T08:21:00
Heavy Traffic,1.2905993393793465,103.84301393405529,(6/7)8:50 Heavy Traffic in CTE Tunnel (towards AYE) at Havelock Road Exit.,City,Central,Cloudy,Cloudy,2022-07-06T08:50:00
Heavy Traffic,1.3572352831402201,103.85739627489677,(6/7)8:56 Heavy Traffic on CTE (towards AYE) at Ang Mo Kio Ave 1 Exit.,Serangoon,East,Cloudy,Cloudy,2022-07-06T08:56:00
Heavy Traffic,1.3228886904537582,103.8895231790267,(6/7)9:01 Heavy Traffic on PIE (towards Changi Airport) at Paya Lebar Rd Exit.,Geylang,East,Cloudy,Cloudy,2022-07-06T09:01:00
Heavy Traffic,1.2888107012496124,103.84140150434277,(6/7)9:21 Heavy Traffic in CTE Tunnel (towards SLE) at Merchant Road Exit.,City,Central,Cloudy,Cloudy,2022-07-06T09:21:00
Heavy Traffic,1.3245044163647464,103.72486679989096,(6/7)17:27 Heavy Traffic on AYE (towards Tuas) at Jurong Port Rd Exit.,Jurong East,West,Cloudy,Cloudy,2022-07-06T17:27:00
Heavy Traffic,1.330053456774639,103.86288071181622,(6/7)17:24 Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit.,Toa Payoh,Central,Cloudy,Cloudy,2022-07-06T17:24:00
