Severity,Humidity(%),Duration,Month,Day,Hour,Temperature(C),Visibility(km),Distance_km,Pressure(mbar),Weather_Fair,Weather_Clear,Weather_Cloudy,Weather_Overcast,Weather_Haze,Weather_Rain,Weather_Thunderstorm,Wind_C,Wind_E,Wind_N,Wind_S,Wind_V,Wind_W,DurationBin,Distance_kmBin
1,93.0,360,11,2,15,11.72,3.22,1.45,1009.14,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2
1,93.0,360,11,2,17,11.72,4.03,0.36,1009.48,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
2,50.0,360,1,1,12,11.72,16.1,0.5,1003.73,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
1,43.0,360,2,4,12,10.0,16.1,0.92,1011.18,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
1,50.0,360,2,4,17,9.0,14.67,0.49,1030.14,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
3,47.0,360,4,1,5,5.0,16.1,0.16,1022.35,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
3,47.0,360,4,1,5,5.0,16.1,0.08,1022.35,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
1,89.0,360,7,1,6,4.39,16.1,0.86,1013.55,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1
1,85.0,360,7,1,12,5.61,9.66,1.99,1014.9,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2
1,76.0,360,7,1,15,7.22,16.1,0.0,1015.24,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
2,65.0,360,7,1,17,7.22,16.1,0.25,1016.93,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0
3,43.0,360,8,4,11,7.0,14.57,0.2,1017.92,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
1,36.0,360,8,4,16,6.0,14.67,0.5,1016.64,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0
1,45.0,360,9,0,9,3.0,14.67,0.64,1016.64,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1
1,32.0,360,9,0,15,3.89,16.1,0.02,1019.64,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
1,37.0,360,9,0,15,2.78,16.1,0.36,1021.0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
2,80.0,360,12,0,13,7.22,16.1,0.36,1009.82,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
1,73.0,360,12,0,16,6.72,16.1,0.0,1009.82,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
1,45.0,360,12,1,13,6.11,16.1,0.0,1019.98,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
2,57.0,360,12,1,17,6.0,14.46,1.4,1030.14,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2
1,51.0,360,12,1,18,5.0,16.1,0.0,1018.63,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
1,48.0,360,12,2,19,2.78,14.67,0.27,1015.24,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
3,37.0,360,12,3,7,-3.89,16.1,0.09,1010.5,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
3,37.0,360,12,3,8,-3.89,16.1,0.21,1010.5,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
1,27.0,360,12,3,14,-5.61,16.1,0.05,1014.9,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
1,46.0,360,12,4,20,-3.89,16.1,0.23,1029.12,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0
3,59.0,360,12,0,8,-2.0,14.57,0.38,1030.82,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
3,59.0,360,12,0,8,-2.0,14.57,0.0,1030.82,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
1,43.0,360,12,0,10,-3.28,16.1,0.23,1040.64,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
