dateTime,day,small_area,weather_forecast_type,hour,Accident,count
2022-07-06 00:00:00,2,Ang Mo Kio,Rain,0,L,0
2022-07-06 00:00:00,2,Bedok,Rain,0,L,0
2022-07-06 00:00:00,2,Bishan,Rain,0,L,0
2022-07-06 00:00:00,2,Boon Lay,Rain,0,L,0
2022-07-06 00:00:00,2,Bukit Batok,Rain,0,L,0
2022-07-06 00:00:00,2,Bukit Merah,Rain,0,L,0
2022-07-06 00:00:00,2,Bukit Panjang,Rain,0,L,0
2022-07-06 00:00:00,2,Bukit Timah,Rain,0,L,0
2022-07-06 00:00:00,2,Central Water Catchment,Rain,0,L,0
2022-07-06 00:00:00,2,Changi,Rain,0,L,0
2022-07-06 00:00:00,2,Choa Chu Kang,Rain,0,L,0
2022-07-06 00:00:00,2,Clementi,Rain,0,L,0
2022-07-06 00:00:00,2,City,Rain,0,L,0
2022-07-06 00:00:00,2,Geylang,Rain,0,L,0
2022-07-06 00:00:00,2,Hougang,Rain,0,L,0
2022-07-06 00:00:00,2,Jalan Bahar,Rain,0,L,0
2022-07-06 00:00:00,2,Jurong East,Rain,0,L,0
2022-07-06 00:00:00,2,Jurong Island,Rain,0,L,0
2022-07-06 00:00:00,2,Jurong West,Rain,0,L,0
2022-07-06 00:00:00,2,Kallang,Rain,0,L,0
2022-07-06 00:00:00,2,Lim Chu Kang,Rain,0,L,0
2022-07-06 00:00:00,2,Mandai,Rain,0,L,0
2022-07-06 00:00:00,2,Marine Parade,Rain,0,L,0
2022-07-06 00:00:00,2,Novena,Rain,0,L,0
2022-07-06 00:00:00,2,Pasir Ris,Rain,0,L,0
2022-07-06 00:00:00,2,Paya Lebar,Rain,0,L,0
2022-07-06 00:00:00,2,Pioneer,Rain,0,L,0
2022-07-06 00:00:00,2,Pulau Tekong,Rain,0,L,0
2022-07-06 00:00:00,2,Pulau Ubin,Rain,0,L,0
2022-07-06 00:00:00,2,Punggol,Rain,0,L,0
2022-07-06 00:00:00,2,Queenstown,Rain,0,L,0
2022-07-06 00:00:00,2,Seletar,Rain,0,L,0
2022-07-06 00:00:00,2,Sembawang,Rain,0,L,0
2022-07-06 00:00:00,2,Sengkang,Rain,0,L,0
2022-07-06 00:00:00,2,Sentosa,Rain,0,L,0
2022-07-06 00:00:00,2,Serangoon,Rain,0,L,0
2022-07-06 00:00:00,2,Southern Islands,Rain,0,L,0
2022-07-06 00:00:00,2,Sungei Kadut,Rain,0,L,0
2022-07-06 00:00:00,2,Tampines,Rain,0,L,0
2022-07-06 00:00:00,2,Tanglin,Rain,0,L,0
2022-07-06 00:00:00,2,Tengah,Rain,0,L,0
2022-07-06 00:00:00,2,Toa Payoh,Rain,0,L,0
2022-07-06 00:00:00,2,Tuas,Rain,0,L,0
2022-07-06 00:00:00,2,Western Islands,Rain,0,L,0
2022-07-06 00:00:00,2,Western Water Catchment,Rain,0,L,0
2022-07-06 00:00:00,2,Woodlands,Rain,0,L,0
2022-07-06 00:00:00,2,Yishun,Rain,0,L,0
2022-07-06 01:00:00,2,Ang Mo Kio,Cloudy,1,L,0
2022-07-06 01:00:00,2,Bedok,Cloudy,1,L,0
2022-07-06 01:00:00,2,Bishan,Cloudy,1,L,0
2022-07-06 01:00:00,2,Boon Lay,Cloudy,1,L,0
2022-07-06 01:00:00,2,Bukit Batok,Cloudy,1,L,0
2022-07-06 01:00:00,2,Bukit Merah,Cloudy,1,L,0
2022-07-06 01:00:00,2,Bukit Panjang,Cloudy,1,L,0
2022-07-06 01:00:00,2,Bukit Timah,Cloudy,1,L,0
2022-07-06 01:00:00,2,Central Water Catchment,Cloudy,1,L,0
2022-07-06 01:00:00,2,Changi,Cloudy,1,L,0
2022-07-06 01:00:00,2,Choa Chu Kang,Cloudy,1,L,0
2022-07-06 01:00:00,2,Clementi,Cloudy,1,L,0
2022-07-06 01:00:00,2,City,Cloudy,1,L,0
2022-07-06 01:00:00,2,Geylang,Cloudy,1,L,0
2022-07-06 01:00:00,2,Hougang,Cloudy,1,L,0
2022-07-06 01:00:00,2,Jalan Bahar,Cloudy,1,L,0
2022-07-06 01:00:00,2,Jurong East,Cloudy,1,L,0
2022-07-06 01:00:00,2,Jurong Island,Cloudy,1,L,0
2022-07-06 01:00:00,2,Jurong West,Cloudy,1,L,0
2022-07-06 01:00:00,2,Kallang,Cloudy,1,L,0
2022-07-06 01:00:00,2,Lim Chu Kang,Cloudy,1,L,0
2022-07-06 01:00:00,2,Mandai,Cloudy,1,L,0
2022-07-06 01:00:00,2,Marine Parade,Cloudy,1,L,0
2022-07-06 01:00:00,2,Novena,Cloudy,1,L,0
2022-07-06 01:00:00,2,Pasir Ris,Cloudy,1,L,0
2022-07-06 01:00:00,2,Paya Lebar,Cloudy,1,L,0
2022-07-06 01:00:00,2,Pioneer,Cloudy,1,L,0
