,Severity,Duration,Distance_km
Severity,1.0,0.2057815137618582,0.06630743986446387
Weather_Clear,0.3516530132131081,0.27225367197486705,0.03907628984566744
Weather_Overcast,0.20667100218887743,0.16727694253226022,0.03824674664270683
Duration,0.2057815137618582,1.0,0.1986491311125356
Wind_W,0.07609333904671062,0.04244577381133383,0.04020850037886548
Distance_km,0.06630743986446387,0.1986491311125356,1.0
Pressure(mbar),0.05813991085241753,-0.011407318791961902,-0.05125742801596977
Wind_V,0.05666813476701492,0.09823545282766777,0.05258702234100478
Day,0.006907699408377016,-0.0232694126364136,-0.01825645592916536
Wind_C,-0.0024127787064681565,0.030181068527408993,0.05212761442934752
Wind_Speed(km/h),-0.0026722274614955485,-0.02311563037437562,-0.005422663881643675
Weather_Thunderstorm,-0.004325057707234263,-0.026121449487411564,0.021915294843273533
Wind_N,-0.008624491244784403,0.0074897189449190825,-0.015806946575762947
Weather_Rain,-0.011114468668768633,-0.019835005861956526,0.024332428685381054
Visibility(km),-0.01172197161420982,-0.01717378376860336,-0.011495198270750314
Weather_Haze,-0.022056350654896077,0.007156819732017965,-0.014639064157160321
Wind_E,-0.037042414513032924,-0.05472886544409192,-0.030254563115781837
Wind_S,-0.0499879514740131,-0.08457132285568615,-0.06737238597082741
Month,-0.0627581953287697,-0.22091641236359774,-0.05997356903366098
Hour,-0.06685230208584958,-0.23890239657606635,-0.07307387689847292
Humidity(%),-0.08223719733791024,-0.11429279257382172,-0.06595483091315452
Weather_Cloudy,-0.10320290973725575,-0.08468877833556873,-0.06010688067454554
Temperature(C),-0.12195979184673036,-0.1925014485870506,-0.06679572752410413
Weather_Fair,-0.128880875090837,-0.0900350871079245,0.013957132578446926
